C2/C1,C3/C1,C4/C1,B1/C1,B2/C1,B3/C1,X3/C1,S1,S3,C1,Altitude,KCAS,AOA,Skin Thickness,Front Spar Chord %,Rear Spar Chord %,Spar Thickness,# of Ribs,Rib Thickness,Wingbox Cutout,# of Fuselage Ribs,# of Fuselage Spars,Fuselage Struct Thickness,Fuselage Struct Width,Aircraft Empty Weight,Payload Volume,Fuel Volume,Max Hotspot Stress
0.6088008221238852,0.2636084116250277,0.082729998640716,0.1176572893746197,0.066056016087532,0.503988870140165,0.6198098746594042,59.12132190540433,32.081360556185246,2936.1969106830657,8.505576509982347,243.73705523833632,-7.121506832540035,0.001589349551266,0.341365980906412,0.735716144926846,0.002961569307046,11,0.0022626727236201,0.0196410261746495,5,6,0.0059100394204724,0.0033804518857039,91.13482534,296746703.0,82920942.54,173.49083702083334
0.6204554989002645,0.231168403122574,0.0850501636136323,0.1275087743997573,0.1676006034947932,0.6354500888846815,0.5763041561003774,43.038267865777016,25.6026815995574,2926.3942553661764,2.0470469668507576,153.43977124337107,-1.9409623220562933,0.0008194438548758,0.3071255692001432,0.6814863089472055,0.001730975427397,5,0.0015,0.01,3,3,0.0022092294150497,0.0012722981672734,45.53870169,427223919.1,194594544.3,587.7226634655173
0.7353941806592047,0.2586556668579579,0.0780506976507604,0.1545534307137132,0.1947855656500906,0.3710311413742602,0.6027061572764069,51.052788738161325,38.36443243548274,2547.896133735776,9.882821269333364,169.2058158610016,3.5806447565555573,0.0007175093706697,0.1955673645529896,0.6613883355632425,0.0015963192773866,5,0.0015,0.0107022205665707,3,3,0.002033123253379,0.0017201017668005,33.01027788,386017482.2,199128203.9,392.0038792352941
0.5525175688788295,0.2415657257847488,0.0844555945415049,0.1832126167602837,0.1040002230089157,0.389103282475844,0.5157656123396009,44.081788286566734,39.84421161934733,3456.8413784727454,14.78594888560474,220.9881929140538,5.2855716943740845,0.0008715684422291,0.2550856650993228,0.7039263403043151,0.0017658462768536,7,0.0015,0.012997476991266,3,3,0.0027487950834911,0.0016842768965754,78.74105808,911105161.3,184792532.0,1227.035608
0.607566439639777,0.2056682347506284,0.0688945680577308,0.1389532709494233,0.1262642780784517,0.5683695944491773,0.5336244418285787,56.52213413268328,27.32601990923285,3595.54024785757,11.815573040395975,247.73871000483632,-5.0844151973724365,0.0008259187528397,0.2049166232254356,0.7327982898801565,0.0011562280902522,7,0.0015,0.01,3,3,0.0023816078510135,0.0014461559297516,75.76956811,878491277.9,244484648.2,1809.4791159097745
0.6706021853722632,0.2576170572265983,0.0826284953299909,0.1024453792721033,0.1269064292311668,0.5394057332072406,0.5189366922248155,58.55666348710656,39.79378951713443,3153.8223270326853,12.358748361468315,157.17049416713417,7.62684778124094,0.0009549067120766,0.2016528176516294,0.6961018545553088,0.0015855830477317,7,0.0015,0.01,3,3,0.0023905421099625,0.001399939697748,60.12119135,448240342.2,228120436.2,477.4902077692308
0.7397500975988806,0.253743364866823,0.0674835094437003,0.1261299243196845,0.1725538626313209,0.645764343906194,0.5562655843328684,58.8800117187202,22.269212137907743,2702.0695847459137,0.311803562566638,163.3240909120068,5.531090714037418,0.0015325534252915,0.2879347402974963,0.6916626593098044,0.0031676242206245,12,0.0028225686873774,0.0181625602990388,5,6,0.0046744875772856,0.0026229740653652,86.52529225,295092210.8,196759149.4,84.76741085714285
0.6632717592641711,0.2661407230608165,0.0785429774690419,0.1715734770521521,0.1919431009329855,0.5457475174684077,0.5158422716893256,42.84999741241336,25.29284089803696,2708.8237795978785,12.98381764255464,134.41086229588836,-4.540582545101643,0.0009610898936167,0.2122936914581805,0.6368149844929576,0.0015683761404594,7,0.0015,0.0116256243800744,3,3,0.0020115652114618,0.0013991947903297,51.19726377,468772662.7,209704421.3,249.03268833898304
0.8164071017876267,0.1830562051571905,0.0751510969642549,0.1574209248647093,0.0677717417944222,0.6606776981614529,0.5935533152893185,51.23996049165726,34.89672861993313,3475.321313831955,17.89157123118639,74.69308373704553,6.272258199751377,0.0006199619658524,0.2296123966015875,0.5730212055146695,0.0012972808094578,5,0.0015,0.0110193908000364,3,3,0.0032027801619842,0.0013316147223114,57.66015628,1088433909.0,177518362.0,253.4266287647236
0.650852869451046,0.192003588117659,0.0757767320796847,0.1129581316374242,0.1611295327078551,0.3919566303491592,0.5322461517062038,48.32626136019826,34.07958868891001,3241.4807663299143,2.591378068551421,249.41870921105144,-3.76300610601902,0.0009089396792929,0.2800590827688575,0.7339610092341899,0.0013183478843071,7,0.0015,0.0101354770520702,3,3,0.0024789970675483,0.0016916526647284,57.54148836,526668636.7,237887822.2,1522.678751388128
